snomedConcept,snomedIdentifier,conditionName,predictedTag,confidence,sentence,source,support CNL1L2L3,support L1L2L3,L1,L2,L3
Coronary arteriosclerosis (disorder),53741008,Coronary heart disease,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.0344827586206896,"Over time, the walls of your arteries can become furred up with fatty deposits",NHS,0.0001932740626207,0.005604947816003,DECLINE,FAST,FROM 5 MINUTE TO 1 DAY
Superficial thrombophlebitis (disorder),2477008,Phlebitis (superficial thrombophlebitis),IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,The blood clot usually clears and the inflammation dies down within a few weeks.,NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Allergy to peanut (finding),91935009,Peanut allergy,PERMANENT,0.0011520737327188,Oral immunotherapy is not a cure for peanut allergy.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Primary biliary cholangitis (disorder),31712002,Primary biliary cholangitis (primary biliary cirrhosis),DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.0344827586206896,"There's a risk of PBC developing in your new liver, but this isn't usually a major concern because it often takes a long time to develop.",NHS,0.0001932740626207,0.005604947816003,DECLINE,FAST,FROM 5 MINUTE TO 1 DAY
Reactive arthritis (disorder),201736002,Reactive arthritis,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,Most people start returning to normal activities after 3 to 6 months,NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Spirometry (procedure),127783003,Spirometry,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"Overall, your appointment should last around 30 to 90 minutes",NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Malignant neoplasm of colon (disorder),363406005,Colon cancer,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"If you've been inactive, start slowly and build up gradually to 30 minutes.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Swelling of first metatarsophalangeal joint of hallux (disorder),415692008,Bunions,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,avoid sports for up to 6 months,NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Ventricular fibrillation (disorder),71908006,Ventricular fibrillation,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.0344827586206896,Death can occur within minutes.,MAYO,0.0001932740626207,0.005604947816003,DECLINE,FAST,FROM 5 MINUTE TO 1 DAY
Classical phenylketonuria (disorder),7573000,Phenylketonuria (PKU),DECLINE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0666666666666666,Irreversible brain damage and marked intellectual disability beginning within the first few months of life,MAYO,0.0001932740626207,0.0028991109393119,DECLINE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Finding of blood group (finding),365636006,Blood groups,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,are over 70 and have given blood in the last 2 years,NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Hypoplastic left heart syndrome (disorder),62067003,Hypoplastic left heart syndrome,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,This procedure is generally the second operation and is performed when your child is between 3 and 6 months of age.,MAYO,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Cervical dystocia (finding),237324001,Cervical dystonia,PERMANENT,0.0011520737327188,There is no cure for cervical dystonia.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Milium (morphologic abnormality),37719003,Milia,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0051413881748071,And no treatment is needed because they usually disappear on their own in a few weeks or months.,MAYO,0.0003865481252415,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Inflammatory disorder due to increased blood urate level (disorder),90560007,Gout,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"After the most severe pain subsides, some joint discomfort may last from a few days to a few weeks.",MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Scoliosis deformity of spine (disorder),298382003,Scoliosis,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"It can affect people of any age, from babies to adults, but most often starts in children aged 10 to 15.",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Nail problem (finding),297989000,Nail problems,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0051413881748071,Fingernails that fall off after an injury should grow back within 6 months,NHS,0.0003865481252415,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Avascular necrosis of the capital femoral epiphysis (disorder),111255008,Legg-Calve-Perthes disease,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,Initial X-rays might look normal because it can take one to two months after symptoms begin for the changes associated with Legg-Calve-Perthes disease to become evident on X-rays.,MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Anemia (disorder),271737000,Anemia,PERMANENT,0.0011520737327188,"Anemia can be temporary or long term, and it can range from mild to severe.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Dysmenorrhea (disorder),266599000,Period pain,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"adenomyosis – where the tissue that normally lines the womb starts to grow within the muscular womb wall, making your periods particularly painful",NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Transplantation of small intestine (procedure),56283009,Small bowel transplant,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"Depending on your health and the operation's success, your bowel may be reconnected and the ileostomy closed a few months after the transplant, but this is not always possible.",NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Allergic granulomatosis angiitis (disorder),82275008,Churg-Strauss syndrome,PERMANENT,0.0023041474654377,Churg-Strauss syndrome is rare and has no cure.,MAYO,0.0003865481252415,0.1677618863548511,PERMANENT,,
Contact dermatitis caused by poison ivy (disorder),200823002,Poison ivy rash,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0048543689320388,The rash doesn't get better within a few weeks,MAYO,0.0005798221878623,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Noonan's syndrome (disorder),205824006,Noonan syndrome,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0051413881748071,"If one or both testicles haven't moved into proper position within the first few months of life (undescended testicle), surgery may be needed.",MAYO,0.0003865481252415,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Mammary duct ectasia (disorder),22049009,Mammary duct ectasia,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"Mammary duct ectasia most often occurs in women during perimenopause — around age 45 to 55 years — but it can happen after menopause, too.",MAYO,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Dupuytren's contracture (disorder),274142002,Dupuytren's contracture,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.011070110701107,Dupuytren's (du-pwe-TRANZ) contracture is a hand deformity that usually develops over years.,MAYO,0.0005798221878623,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Thrombosis of cavernous venous sinus (disorder),89980009,Cavernous sinus thrombosis,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,Some people also need to take anticoagulant tablets for a few months or longer after leaving hospital.,NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Japanese encephalitis virus disease (disorder),52947006,Japanese encephalitis,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"But it can take several months to make a full recovery, and up to half of those who do survive are left with permanent brain damage.",NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Exophthalmos (disorder),18265008,Exophthalmos (bulging eyes),IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,The active phase can last for several months to 2 years.,NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Severe acute respiratory syndrome (disorder),398447004,SARS (severe acute respiratory syndrome),PERMANENT,0.0011520737327188,"There's currently no cure for SARS, but research to find a vaccine is ongoing.",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,
Sjögren's syndrome (disorder),83901003,Sjögren's syndrome,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,But it is not suitable for everyone and can take several months to work,NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Accelerated atrioventricular conduction (disorder),16797001,Wolff-Parkinson-White syndrome,PERMANENT,0.0034562211981566,"It can be scary to be told that you have a problem with your heart, but WPW syndrome usually isn't serious.",NHS,0.0005798221878623,0.1677618863548511,PERMANENT,,
Granulomatosis with polyangiitis (disorder),195353004,Granulomatosis with polyangiitis,DECLINE SLOWLY FROM 2 MONTH TO 6 MONTH,0.1428571428571428,Signs and symptoms of granulomatosis with polyangiitis can develop suddenly or over several months.,MAYO,0.0001932740626207,0.0013529184383455,DECLINE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Herpes zoster auricularis (disorder),21954000,Ramsay Hunt syndrome,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,Treatment that starts within three days of the start of signs and symptoms may help prevent long-term complications.,MAYO,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Hemoptysis (finding),66857006,Coughing up blood (blood in phlegm),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,This is a more serious problem and you should go to hospital straight away,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Popliteal entrapment syndrome (disorder),233978009,Popliteal artery entrapment,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"Typically, you'll need to stay in the hospital for one day.",MAYO,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Pneumonia (disorder),233604007,Pneumonia,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,6 months – most people will feel back to normal,NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Transient ischemic attack (disorder),266257000,Transient ischaemic attack (TIA),IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0031088082901554,"A stroke is a serious health condition that can cause permanent disability and can be fatal in some cases, but appropriate treatment after a TIA can help to reduce your risk of having a stroke.",NHS,0.0005798221878623,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Choroid plexus carcinoma (morphologic abnormality),88252006,Choroid plexus carcinoma,PERMANENT,0.0011520737327188,No alternative treatments have been proved to cure brain tumors.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Acute pancreatitis (disorder),197456007,Acute pancreatitis,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0869565217391304,Many people are well enough to leave hospital after a few days.,NHS,0.0003865481252415,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK
Bacterial vaginosis (disorder),419760006,Bacterial vaginosis,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"It's common for BV to come back, usually within 3 months.",NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Ependymoma (disorder),443643007,Ependymoma,PERMANENT,0.0011520737327188,No alternative treatments have been proved to cure brain tumors.,MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Avascular necrosis (morphologic abnormality),86217007,Avascular necrosis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,Pain can be mild or severe and usually develops gradually.,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Transplantation of liver (procedure),18027006,Liver transplant,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,It can take a year or more to fully recover.,NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Nonulcer dyspepsia (disorder),3696007,Functional dyspepsia,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,You may also learn ways to reduce stress in your life to prevent functional dyspepsia from recurring.,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Fracture of rib (disorder),33737001,Broken ribs,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,"In most cases, broken ribs usually heal on their own in one or two months.",MAYO,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Thrombocytosis (disorder),6631009,Thrombocytosis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"In most cases, your platelet count will return to normal after the cause is resolved.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Falls (finding),161898004,Falls,PERMANENT,0.0011520737327188,"In older people, falls can be particularly problematic because osteoporosis is a fairly common problem.",NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,
Spondylolisthesis (disorder),274152003,Spondylolisthesis,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,"But it's a major operation that involves up to a week in hospital and a recovery period lasting months, where you have to limit your activities.",NHS,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Contusion of eye (disorder),367423000,Black eye,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,It should get better within 2 to 3 weeks,NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Epiglottitis (disorder),80384002,Epiglottitis,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.0555555555555555,"The symptoms of epiglottitis usually develop quickly and get rapidly worse, although they can develop over a few days in older children and adults.",NHS,0.0001932740626207,0.0034789331271743,DECLINE,FAST,FROM 1 DAY TO 1 WEEK
Myositis (disorder),26889001,Myositis (polymyositis and dermatomyositis),IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0434782608695652,"The muscle weakness may change from week to week or month to month, although it tends to steadily get worse if you do not get treatment.",NHS,0.0001932740626207,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK
Emphysema (morphologic abnormality),49158009,Emphysema,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.0344827586206896,"Treatment may slow the progression of COPD, but it can't reverse the damage.",MAYO,0.0001932740626207,0.005604947816003,DECLINE,FAST,FROM 5 MINUTE TO 1 DAY
Methicillin resistant Staphylococcus aureus (organism),115329001,MRSA,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"Getting MRSA on your skin will not make you ill, and it may go away in a few hours, days, weeks or months without you noticing",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Primary progressive apraxia of speech (disorder),723124007,Primary progressive aphasia,DECLINE SLOWLY FROM 6 MONTH TO 1 YEAR,0.1666666666666666,People with primary progressive aphasia can also develop depression or behavioral or social problems as the disease progresses.,MAYO,0.0003865481252415,0.0023192887514495,DECLINE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Psoriasis (disorder),9014002,Psoriasis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,It can cause stiffness and progressive joint damage that in the most serious cases may lead to permanent joint damage.,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
"Chronic myeloid leukemia, disease (disorder)",92818009,Chronic myeloid leukaemia,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,Chronic myeloid leukaemia (CML) is a type of cancer that affects the white blood cells and tends to progress slowly over many years.,NHS,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Cataract (disorder),193570009,Cataracts,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,Healing generally occurs within eight weeks.,MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Vaginospasm (finding),79012001,Vaginismus,PERMANENT,0.0011520737327188,You have no control over it.,NHS,0.0001932740626207,0.1677618863548511,PERMANENT,,
Rheumatic fever (disorder),58718002,Rheumatic fever,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.006578947368421,Inflammation caused by rheumatic fever can last a few weeks to several months.,MAYO,0.0001932740626207,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Product containing 3-hydroxy-3-methylglutaryl-coenzyme A reductase inhibitor (product),96302009,Statins,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,"You usually have to continue taking statins for life because if you stop taking them, your cholesterol will return to a high level within a few weeks.",NHS,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Osteomyelitis (disorder),60168000,Osteomyelitis,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"If you have a severe infection, the course may last up to 12 weeks",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Intermittent explosive disorder (disorder),40987004,Intermittent explosive disorder,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0016181229773462,These episodes may occur frequently or be separated by weeks or months of nonaggression.,MAYO,0.0001932740626207,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Personality disorder (disorder),33449004,Personality disorder,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0025706940874035,"It will last for at least 3 months, but can often last longer depending on the severity of the condition and other problems the person may have.",NHS,0.0001932740626207,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Acute renal failure syndrome (disorder),14669001,Acute kidney failure,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"In some cases, you may be able to recover at home.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Intracranial aneurysm (disorder),128609009,Brain aneurysm,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,"After clipping, you'll usually need to stay in hospital for around 4 to 6 days, whereas you can usually go home 1 or 2 days after coiling.",NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Red eye (disorder),75705005,Red eye,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,It may get better on its own in a few days,NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Cyst of ovary (disorder),79883001,Ovarian cyst,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,"In most cases, ovarian cysts disappear in a few months without the need for treatment.",NHS,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Stress fracture (disorder),240197007,Stress fractures,IMPROVE SLOWLY FROM 2 MONTH TO 6 MONTH,0.0082644628099173,This may take several months or even longer.,MAYO,0.0001932740626207,0.0233861615771163,IMPROVE,SLOWLY,FROM 2 MONTH TO 6 MONTH
Intracranial hematoma (disorder),450425005,Intracranial hematoma,IMPROVE MODERATELY FROM 2 MONTH TO 6 MONTH,0.0077120822622107,"The result of less severe head injuries, this type of hematoma can cause slow bleeding, and symptoms can take weeks and even months to appear.",MAYO,0.0005798221878623,0.0751836103594897,IMPROVE,MODERATELY,FROM 2 MONTH TO 6 MONTH
Schizotypal personality disorder (disorder),31027006,Schizotypal personality disorder,PERMANENT,0.0023041474654377,"Though schizotypal personality disorder is lifelong, some symptoms may improve over time through experiences that help foster — among other positive traits — self-confidence, a belief in one's ability to overcome difficulty and a sense of social support.",MAYO,0.0003865481252415,0.1677618863548511,PERMANENT,,
Chordoma (morphologic abnormality),50007008,Chordoma,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,Chordoma usually grows slowly.,MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Acute myeloid leukemia - category (morphologic abnormality),413443009,Acute myeloid leukaemia,DECLINE MODERATELY FROM 8 DAY TO 2 MONTH,0.032258064516129,The symptoms of AML usually develop over a few weeks and become worse over time.,NHS,0.0001932740626207,0.0059914959412446,DECLINE,MODERATELY,FROM 8 DAY TO 2 MONTH
Hemochromatosis (disorder),399187006,Hemochromatosis,IMPROVE SLOWLY FROM 6 MONTH TO 1 YEAR,0.0131578947368421,It may take a year or longer to reduce the iron in your body to normal levels.,MAYO,0.0003865481252415,0.029377657518361,IMPROVE,SLOWLY,FROM 6 MONTH TO 1 YEAR
Neck pain (finding),81680005,Neck pain,IMPROVE MODERATELY FROM 8 DAY TO 2 MONTH,0.0032362459546925,The most common types of mild to moderate neck pain usually respond well to self-care within two or three weeks.,MAYO,0.0003865481252415,0.1194433706996521,IMPROVE,MODERATELY,FROM 8 DAY TO 2 MONTH
Sickling disorder due to hemoglobin S (disorder),417357006,Sickle cell disease,DECLINE FAST FROM 5 MINUTE TO 1 DAY,0.0344827586206896,Finding out as much as possible about sickle cell disease may help you feel more in control of your illness.,NHS,0.0001932740626207,0.005604947816003,DECLINE,FAST,FROM 5 MINUTE TO 1 DAY
Encopresis (finding),302690004,Encopresis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,"Generally, the earlier that treatment begins for encopresis, the better.",MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Granuloma annulare (disorder),65508009,Granuloma annulare,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0112781954887218,The lesions usually disappear on their own within two years without treatment.,MAYO,0.0005798221878623,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Anoxia caused by high altitude (disorder) ,42883007,Altitude sickness,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0072463768115942,It usually takes a few days for your body to get used to a change in altitude.,NHS,0.0003865481252415,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Serotonin reuptake inhibitor (disposition),763216009,Selective serotonin reuptake inhibitors (SSRIs),IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,"A course of treatment usually lasts for at least 6 months, although longer courses are sometimes recommended and some people with recurrent problems may be advised to take them indefinitely.",NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Esophagitis (disorder),16761005,Esophagitis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,Experience pain in your chest that lasts more than a few minutes,MAYO,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Chronic interstitial cystitis (disorder),197834003,Interstitial cystitis,PERMANENT,0.0046082949308755,"It can have a significant impact on your lifestyle, work, emotional health and relationships, but a number of different treatments can be tried to help relieve the symptoms.",NHS,0.0007730962504831,0.1677618863548511,PERMANENT,,
Measles (disorder),14189004,Measles,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0434782608695652,This relatively mild illness may last two or three days.,MAYO,0.0001932740626207,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK
Streptococcus agalactiae infection (disorder),426933007,Group B strep,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0010362694300518,Your baby may be monitored in hospital for up to 12 hours to check for any problems,NHS,0.0001932740626207,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Ectopic beats (disorder),33413000,Heart palpitations and ectopic beats,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,"the palpitations last a long time, do not improve or get worse",NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Hairy cell leukemia (disorder),118613001,Hairy cell leukemia,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0075187969924812,people who receive cladribine experience a complete remission that can last for several years.,MAYO,0.0003865481252415,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Complete transposition of great vessels (disorder),26146002,Transposition of the great arteries,DECLINE FAST FROM 1 DAY TO 1 WEEK,0.0555555555555555,"Surgery is required for all babies with transposition of the great arteries early in life, usually within the first week.",MAYO,0.0001932740626207,0.0034789331271743,DECLINE,FAST,FROM 1 DAY TO 1 WEEK
Cytomegalovirus infection (disorder),28944009,Cytomegalovirus (CMV) infection,PERMANENT,0.0011520737327188,"There is no cure, but there are medications that can help treat the symptoms.",MAYO,0.0001932740626207,0.1677618863548511,PERMANENT,,
Endodontic procedure (procedure),55670007,Root canal treatment,IMPROVE SLOWLY FROM 1 YEAR TO MORE YEAR,0.0037593984962406,In about 9 out of 10 cases a tooth can survive for up to 10 years after root canal treatment,NHS,0.0001932740626207,0.0514109006571318,IMPROVE,SLOWLY,FROM 1 YEAR TO MORE YEAR
Incised wound - morphology (morphologic abnormality),134352000,Cuts and grazes,IMPROVE FAST FROM 1 DAY TO 1 WEEK,0.0036231884057971,Minor wounds should start to heal within a few days.,NHS,0.0001932740626207,0.0533436412833397,IMPROVE,FAST,FROM 1 DAY TO 1 WEEK
Borderline personality disorder (disorder),20010003,Borderline personality disorder,IMPROVE MODERATELY FROM 6 MONTH TO 1 YEAR,0.0217391304347826,A course of MBT usually lasts around 18 months,NHS,0.0001932740626207,0.0088906068805566,IMPROVE,MODERATELY,FROM 6 MONTH TO 1 YEAR
Heart valve replacement (procedure),34068001,Aortic valve replacement,IMPROVE MODERATELY FROM 1 DAY TO 1 WEEK,0.0434782608695652,"Depending on how well you progress, you should be able to leave the hospital about a week after your operation.",NHS,0.0001932740626207,0.0044453034402783,IMPROVE,MODERATELY,FROM 1 DAY TO 1 WEEK
Diverticular disease (disorder),397881000,Diverticular disease and diverticulitis,IMPROVE FAST FROM 5 MINUTE TO 1 DAY,0.0020725388601036,"Generally, adults should aim to eat 30g of fibre a day.",NHS,0.0003865481252415,0.1865094704290684,IMPROVE,FAST,FROM 5 MINUTE TO 1 DAY
Infection caused by Shigella (disorder),111817006,Shigella infection,IMPROVE FAST FROM 8 DAY TO 2 MONTH,0.05,"Signs and symptoms of shigella infection usually begin a day or two after contact with shigella, but may take up to a week to develop.",MAYO,0.0001932740626207,0.0038654812524159,IMPROVE,FAST,FROM 8 DAY TO 2 MONTH
Aortic valve stenosis (disorder),60573004,Aortic valve stenosis,DECLINE SLOWLY FROM 1 YEAR TO MORE YEAR,0.003690036900369,"In aortic valve stenosis, there is progressive narrowing of the aortic valve opening over time (top row), which results in increased pressure within the heart and reduced capacity to pump blood to the body.",MAYO,0.0001932740626207,0.0523772709702357,DECLINE,SLOWLY,FROM 1 YEAR TO MORE YEAR
