snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation
Viral hepatitis type B (disorder),66071002,838380002,Chronic hepatitis B co-occurrent with hepatitis C and hepatitis D (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<10200004|Liver structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 81665004|Hepatitis B virus (organism)|})&limit=7000",7
Thrombocytosis (disorder),6631009,771511005,Thrombocythemia with distal limb defect (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 61928009|Platelet count (procedure)|,363713009|Has interpretation (attribute)| = 281302008|Above reference range (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 74848003|Hemostatic function (observable entity)|,363713009|Has interpretation (attribute)| = 263654008|Abnormal (qualifier value)|})&limit=7000",6
Nutritional anemia (disorder),66612000,66612000,Nutritional anemia (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 14089001|Red blood cell count (procedure)|,363713009|Has interpretation (attribute)| = <<281300000|Below reference range (qualifier value)|} AND [1..1]{363714003|Interprets (attribute)| = 441689006|Measurement of total hemoglobin concentration (procedure)|,363713009|Has interpretation (attribute)| = <<281300000|Below reference range (qualifier value)|} AND [1..1]{42752001|Due to (attribute)| = 2492009|Nutritional disorder (disorder)|})&limit=7000",2
Optic neuritis (disorder),66760008,15992671000119103,Neuroretinitis of left eye (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<18234004|Optic nerve structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",23
Hemoptysis (finding),66857006,878831006,Submucosal hemorrhage of vocal cord (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<321667001|Respiratory tract structure (body structure)|,116676008|Associated morphology (attribute)| = 50960005|Hemorrhage (morphologic abnormality)|})&limit=7000",34
Hypercalcemia (disorder),66931009,13901000119100,Hypocalciuric hypercalcemia (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 271240001|Serum calcium measurement (procedure)|,363713009|Has interpretation (attribute)| = 281302008|Above reference range (qualifier value)|})&limit=7000",29
Cleft palate with cleft lip (disorder),66948001,1085351000119101,Cleft of soft palate and cleft lip (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<72914001|Palatal structure (body structure)|,116676008|Associated morphology (attribute)| = 371520008|Developmental failure of fusion (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<48477009|Lip structure (body structure)|,116676008|Associated morphology (attribute)| = 371520008|Developmental failure of fusion (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<272679001|Bone structure of head (body structure)|,116676008|Associated morphology (attribute)| = 371520008|Developmental failure of fusion (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",26
Carotid endarterectomy (procedure),66951008,233296007,Endarterectomy of internal carotid artery (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129304002|Excision - action (qualifier value)|,405814001|Procedure site - Indirect (attribute)| = 69105007|Carotid artery structure (body structure)|,363700003|Direct morphology (attribute)| = 48434008|Atheroma (morphologic abnormality)|})&limit=7000",4
Hyperparathyroidism (disorder),66999008,190045361000119101,Normocalcemic primary hyperparathyroidism (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 60877009|Hormone secretion, function (observable entity)|,363713009|Has interpretation (attribute)| = 35105006|Increased (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<111002|Parathyroid structure (body structure)|})&limit=7000",23
Female infertility (disorder),6738008,39591000119109,Female infertility due to disorder of pituitary gland (disorder),(*):  ([1..1]{363698007|Finding site (attribute)| = <<53065001|Female genital structure (body structure)|} AND [1..1]{363714003|Interprets (attribute)| = 66523006|Female reproductive function (observable entity)|})&limit=7000,99
Spina bifida (disorder),67531005,17771000119103,Low lumbar myelomeningocele (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<40265002|Structure of arch of vertebra (body structure)|,116676008|Associated morphology (attribute)| = 371520008|Developmental failure of fusion (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<60271003|Neural tube structure (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",74
Acute respiratory distress syndrome (disorder),67782005,674814021000119106,Acute respiratory distress syndrome due to disease caused by Severe acute respiratory syndrome coronavirus 2 (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<113254000|Structure of interstitial tissue of lung (body structure)|,116676008|Associated morphology (attribute)| = 79654002|Edema (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|} AND [1..1]{255234002|After (attribute)| = 773760007|Traumatic event (event)|})&limit=7000",6
Smallpox (disorder),67924001,409641002,Hemorrhagic smallpox (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|,246075003|Causative agent (attribute)| = 243568000|Variola virus (organism)|})&limit=7000",4
Partial anomalous pulmonary venous connection (disorder),68237008,447939007,Partial anomalous pulmonary venous connection of entire left lung (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<122972007|Structure of vein of pulmonary circulation (body structure)|,116676008|Associated morphology (attribute)| = 125237007|Anomalous venous connection, partial (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",6
Benign intracranial hypertension (disorder),68267002,698839000,Benign intracranial hypertension due to hypervitaminosis A (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<280371009|Brain cerebrospinal fluid pathway (body structure)|,116676008|Associated morphology (attribute)| = 34494002|Communicating cerebrospinal fluid retention (morphologic abnormality)|} AND [1..1]{363714003|Interprets (attribute)| = 250844005|Intracranial pressure (observable entity)|,363713009|Has interpretation (attribute)| = 35105006|Increased (qualifier value)|})&limit=7000",3
Injury of brachial plexus (disorder),6836001,722901007,Erb Duchenne palsy with neuroma due to birth trauma (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<36582005|Brachial plexus structure (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|})&limit=7000",13
Polyp of colon (disorder),68496003,1085391000119106,Abscess of intestine co-occurrent and due to colonic inflammatory polyps (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<71854001|Colon structure (body structure)|,116676008|Associated morphology (attribute)| = 41329004|Polyp (morphologic abnormality)|})&limit=7000",10
Urinary tract infectious disease (disorder),68566005,16916631000119104,Urinary tract infection caused by Streptococcus agalactiae (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<122489005|Urinary system structure (body structure)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|})&limit=7000",132
Rett's disorder (disorder),68618008,12275031000119106,Congenital cerebral ventriculomegaly (disorder),(*):  ([1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|} AND [1..1]{370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000,248
Primary immunoglobulin A nephropathy (disorder),68779003,445404003,Familial immunoglobulin A nephropathy (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<18602000|Structure of glomerular mesangium (body structure)|,116676008|Associated morphology (attribute)| = 123749006|Chronic proliferative inflammation (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<64033007|Kidney structure (body structure)|,116676008|Associated morphology (attribute)| = 446944008|Immunoglobulin A deposit (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 90734009|Chronic (qualifier value)|})&limit=7000",4
Systemic lupus erythematosus glomerulonephritis syndrome (disorder),68815009,76521009,"Systemic lupus erythematosus glomerulonephritis syndrome, World Health Organization class III (disorder)","(*):  ([1..1]{42752001|Due to (attribute)| = 55464009|Systemic lupus erythematosus (disorder)|} AND [1..1]{363698007|Finding site (attribute)| = <<68288006|Glomerulus structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<21793004|Connective tissue structure (body structure)|} AND [1..1]{370135005|Pathological process (attribute)| = 263680009|Autoimmune process (qualifier value)|})&limit=7000",5
Excision of breast tissue (procedure),69031006,836437004,Simple mastectomy of left breast using robotic assistance (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129304002|Excision - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<76752008|Breast structure (body structure)|})&limit=7000",84
Exteriorization of trachea (procedure),697984004,697984004,Exteriorization of trachea (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129354008|Exteriorization - action (qualifier value)|,363704007|Procedure site (attribute)| = <<44567001|Tracheal structure (body structure)|})&limit=7000",1
Abdominal aortic aneurysm screening (procedure),698356002,698356002,Abdominal aortic aneurysm screening (procedure),(*):  ([1..1]{260686004|Method (attribute)| = 129265001|Evaluation - action (qualifier value)|} AND [1..1]{363702006|Has focus (attribute)| = 233985008|Abdominal aortic aneurysm (disorder)|} AND [1..1]{363703001|Has intent (attribute)| = 360156006|Screening - procedure intent (qualifier value)|})&limit=7000,1
Rheumatoid arthritis (disorder),69896004,16606721000119107,Seropositive rheumatoid arthritis in remission (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39352004|Joint structure (body structure)|,116676008|Associated morphology (attribute)| = 34248003|Rheumatic inflammation (morphologic abnormality)|,370135005|Pathological process (attribute)| = 263680009|Autoimmune process (qualifier value)|})&limit=7000",60
Idiopathic pulmonary fibrosis (disorder),700250006,723829000,"Pulmonary fibrosis, hepatic hyperplasia, bone marrow hypoplasia syndrome (disorder)","(*):  ([1..1]{363698007|Finding site (attribute)| = <<39607008|Lung structure (body structure)|,116676008|Associated morphology (attribute)| = 112674009|Fibrosis (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<113254000|Structure of interstitial tissue of lung (body structure)|,116676008|Associated morphology (attribute)| = 707496003|Inflammation and consolidation (morphologic abnormality)|} AND [1..1]{263502005|Clinical course (attribute)| = 90734009|Chronic (qualifier value)|})&limit=7000",3
Atrial septal defect (disorder),70142008,735580003,Recurrent interatrial communication following procedure (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<58095006|Interatrial septum structure (body structure)|,116676008|Associated morphology (attribute)| = 6920004|Defect (morphologic abnormality)|})&limit=7000",28
Hemorrhoids (disorder),70153002,33041000119105,Complicated internal hemorrhoid (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<40724001|Structure of hemorrhoidal plexus (body structure)|,116676008|Associated morphology (attribute)| = 12856003|Uneven venous ectasia (morphologic abnormality)|})&limit=7000",12
Dural arteriovenous fistula (disorder),703166003,16476641000119100,Acquired arteriovenous fistula of dura of cerebrum (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<18545000|Dura mater structure (body structure)|,116676008|Associated morphology (attribute)| = 128617001|Arteriovenous fistula (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<28661005|Cerebrovascular system structure (body structure)|,116676008|Associated morphology (attribute)| = 128617001|Arteriovenous fistula (morphologic abnormality)|})&limit=7000",3
Mucopolysaccharidosis type II (disorder),70737009,1003514000,Agenesis of liver (disorder),(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<10200004|Liver structure (body structure)|})&limit=7000,68
Acute exacerbation of asthma (disorder),708038006,10676511000119109,Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis (disorder),(*):  ([1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<89187006|Airway structure (body structure)|})&limit=7000,46
Infection caused by larvae of Trichinella (disorder),709018004,709018004,Infection caused by larvae of Trichinella (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 442614005|Parasitic process (qualifier value)|,246075003|Causative agent (attribute)| = 609074006|Larva of genus Trichinella (organism)|})&limit=7000",2
Chronic kidney disease (disorder),709044004,10757481000119107,Pre-existing hypertensive heart and chronic kidney disease in mother complicating pregnancy (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 441915005|Measurement of renal function (procedure)|,363713009|Has interpretation (attribute)| = 260379002|Impaired (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<64033007|Kidney structure (body structure)|} AND [1..1]{263502005|Clinical course (attribute)| = 90734009|Chronic (qualifier value)|})&limit=7000",95
Inhaled steroid therapy (procedure),710818004,710818004,Inhaled steroid therapy (procedure),"(*):  ([1..1]{363703001|Has intent (attribute)| = 262202000|Therapeutic intent (qualifier value)|} AND [1..1]{260686004|Method (attribute)| = 129445006|Administration - action (qualifier value)|,363701004|Direct substance (attribute)| = 410942007|Drug or medicament (substance)|} AND [1..1]{260686004|Method (attribute)| = 129445006|Administration - action (qualifier value)|,405814001|Procedure site - Indirect (attribute)| = 20139000|Structure of respiratory system (body structure)|,363701004|Direct substance (attribute)| = 116566001|Steroid (substance)|,410675002|Route of administration (attribute)| = 447081004|Lower respiratory tract route (qualifier value)|})&limit=7000",1
Croup (disorder),71186008,71186008,Croup (disorder),"(*):  ([1..1]{263502005|Clinical course (attribute)| = 425323003|Sudden onset AND short duration (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<4596009|Laryngeal structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<955009|Bronchial structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<44567001|Tracheal structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|,370135005|Pathological process (attribute)| = 441862004|Infectious process (qualifier value)|})&limit=7000",1
Dyspareunia (finding),71315007,16690551000119106,Female deep pain on intercourse (finding),"(*):  ([1..1]{363714003|Interprets (attribute)| = 76859005|Sexual function (observable entity)|,363713009|Has interpretation (attribute)| = 263654008|Abnormal (qualifier value)|})&limit=7000",50
Posterior cortical atrophy syndrome (disorder),715574002,715574002,Posterior cortical atrophy syndrome (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<67601006|Structure of cortex of parietal lobe (body structure)|,116676008|Associated morphology (attribute)| = 125347008|Atrophic degeneration (morphologic abnormality)|})&limit=7000",1
Solitary rectal ulcer syndrome (disorder),716685003,716685003,Solitary rectal ulcer syndrome (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<34402009|Rectum structure (body structure)|,116676008|Associated morphology (attribute)| = 56208002|Ulcer (morphologic abnormality)|})&limit=7000",4
Meningitis (disorder),7180009,1092351000119107,Meningitis caused by Rubella virus (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<1231004|Meninges structure (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",146
Injury of rotator cuff (disorder),718539004,11856631000119101,Injury of left rotator cuff (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<7885001|Structure of rotator cuff including muscles and tendons (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|})&limit=7000",5
Tuberous sclerosis syndrome (disorder),7199000,765331004,Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<25087005|Structure of nervous system (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<51576004|Structure of multiple topographic sites (body structure)|,116676008|Associated morphology (attribute)| = 51398009|Hamartoma (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",3
Incontinence of feces (finding),72042002,1086911000119107,Complete fecal incontinence (finding),"(*):  ([1..1]{363714003|Interprets (attribute)| = 129008009|Bowel control, function (observable entity)|} AND [1..1]{363698007|Finding site (attribute)| = <<122865005|Gastrointestinal tract structure (body structure)|})&limit=7000",16
Juvenile osteochondrosis of tibial tubercle (disorder),72047008,16011631000119100,Juvenile osteochondrosis of tibial tuberosity of bilateral knees (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<20285007|Bone structure of proximal tibia (body structure)|,116676008|Associated morphology (attribute)| = 21390004|Developmental anomaly (morphologic abnormality)|} AND [1..1]{363698007|Finding site (attribute)| = <<272673000|Bone structure (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",2
Arteriosclerotic vascular disease (disorder),72092001,16891191000119108,Coronary artery disease due to type 1 diabetes mellitus (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<51114001|Arterial structure (body structure)|,116676008|Associated morphology (attribute)| = 28960008|Arteriosclerosis (morphologic abnormality)|})&limit=7000",46
Solar lentigo (disorder),72100002,238712007,Solar lentiginosis (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 767376003|Lentigo (morphologic abnormality)|,246075003|Causative agent (attribute)| = 41355003|Ultraviolet radiation (physical force)|})&limit=7000",2
Klippel Trenaunay syndrome (disorder),721105004,721105004,Klippel Trenaunay syndrome (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<49094006|Structure of capillary of skin (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<272673000|Bone structure (body structure)|,116676008|Associated morphology (attribute)| = 49755003|Morphologically abnormal structure (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",1
Infection caused by Cyclospora (disorder),721810002,721810002,Infection caused by Cyclospora (disorder),"(*):  ([1..1]{370135005|Pathological process (attribute)| = 442614005|Parasitic process (qualifier value)|,246075003|Causative agent (attribute)| = 103560006|Cyclospora (organism)|})&limit=7000",2
Circumcision (procedure),72310004,176561009,Ritual circumcision (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129306000|Surgical removal - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<17880006|Preputial structure (body structure)|})&limit=7000",5
Primary progressive apraxia of speech (disorder),723124007,723124007,Primary progressive apraxia of speech (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<12738006|Brain structure (body structure)|,116676008|Associated morphology (attribute)| = 107669003|Degenerative abnormality (morphologic abnormality)|} AND [1..1]{363714003|Interprets (attribute)| = 288547000|Ability to perform functions related to communication (observable entity)|,363713009|Has interpretation (attribute)| = 263654008|Abnormal (qualifier value)|})&limit=7000",1
Bicuspid aortic valve (disorder),72352009,890220003,Bicuspid aortic valve-associated aortopathy (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<81797008|Structure of cusp of aortic valve (body structure)|,116676008|Associated morphology (attribute)| = 61295008|Congenital abnormal number (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",11
Benign meningioma (disorder),724171006,765202001,Familial multiple benign meningioma (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<1231004|Meninges structure (body structure)|,116676008|Associated morphology (attribute)| = 19453003|Meningioma, benign, no International Classification of Diseases for Oncology subtype (morphologic abnormality)|})&limit=7000",2
Injury caused by low temperature (disorder),726523002,762395000,Hand injury caused by cold temperature following immersion in water (disorder),"(*):  ([1..1]{116676008|Associated morphology (attribute)| = 38045000|Cold injury (morphologic abnormality)|,246075003|Causative agent (attribute)| = 285686007|Low temperature (physical force)|} AND [1..1]{42752001|Due to (attribute)| = 1004049005|Exposure to extreme temperature (event)|})&limit=7000",5
Prickly heat (disorder),72658003,402822004,"Miliaria rubra, infantile (disorder)","(*):  ([1..1]{363698007|Finding site (attribute)| = <<28600009|Sweat gland duct structure (body structure)|,116676008|Associated morphology (attribute)| = 26036001|Obstruction (morphologic abnormality)|,246075003|Causative agent (attribute)| = 88999006|Heat (physical force)|})&limit=7000",2
Familial multiple polyposis syndrome (disorder),72900001,763536006,Hyperplastic polyposis syndrome (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<14742008|Structure of large intestine (body structure)|,116676008|Associated morphology (attribute)| = 9499001|Multiple polyps (morphologic abnormality)|})&limit=7000",6
Coarctation of aorta (disorder),7305005,41371000119100,Shone complex (disorder),"(*):  ([1..1]{246454002|Occurrence (attribute)| = 255399007|Congenital (qualifier value)|,363698007|Finding site (attribute)| = <<15825003|Aortic structure (body structure)|,116676008|Associated morphology (attribute)| = 81409000|Coarctation (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|})&limit=7000",18
Dissection of coronary artery (disorder),732230001,732230001,Dissection of coronary artery (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<713317004|Structure of wall of coronary artery (body structure)|,116676008|Associated morphology (attribute)| = 5399005|Dissecting hemorrhage (morphologic abnormality)|})&limit=7000",1
Muscular dystrophy (disorder),73297009,1010712009,Autosomal dominant Emery-Dreifuss muscular dystrophy (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<127954009|Skeletal muscle structure (body structure)|,116676008|Associated morphology (attribute)| = 4720007|Dystrophy (morphologic abnormality)|,370135005|Pathological process (attribute)| = 308490002|Pathological developmental process (qualifier value)|} AND [1..1]{263502005|Clinical course (attribute)| = 255314001|Progressive (qualifier value)|})&limit=7000",110
Embryonal neuroepithelial neoplasm of central nervous system (disorder),734065009,734065009,Embryonal neuroepithelial neoplasm of central nervous system (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<21483005|Structure of central nervous system (body structure)|,116676008|Associated morphology (attribute)| = 277984002|Embryonal neuroepithelial tumor (morphologic abnormality)|})&limit=7000",1
Sleep apnea (disorder),73430006,16275741000119100,Severe pediatric obstructive sleep apnea (disorder),"(*):  ([1..1]{363714003|Interprets (attribute)| = 364062005|Respiration observable (observable entity)|,363713009|Has interpretation (attribute)| = 2667000|Absent (qualifier value)|,363698007|Finding site (attribute)| = <<20139000|Structure of respiratory system (body structure)|})&limit=7000",11
Stevens-Johnson syndrome (disorder),73442001,124911000119100,Stevens Johnson syndrome AND toxic epidermal necrolysis overlap (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<707862002|Structure of skin and/or mucous membrane (body structure)|,116676008|Associated morphology (attribute)| = 16640008|Separation (morphologic abnormality)|,370135005|Pathological process (attribute)| = 472963003|Hypersensitivity process (qualifier value)|} AND [1..1]{263502005|Clinical course (attribute)| = 424124008|Sudden onset AND/OR short duration (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 6574001|Necrosis (morphologic abnormality)|,370135005|Pathological process (attribute)| = 472963003|Hypersensitivity process (qualifier value)|} AND [1..1]{363698007|Finding site (attribute)| = <<39937001|Skin structure (body structure)|,116676008|Associated morphology (attribute)| = 70819003|Erythema (morphologic abnormality)|,370135005|Pathological process (attribute)| = 472963003|Hypersensitivity process (qualifier value)|})&limit=7000",6
Non suicidal self inflicted injury (disorder),735642007,735642007,Non suicidal self inflicted injury (disorder),(*):  ([1..1]{116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|} AND [1..1]{42752001|Due to (attribute)| = 418420002|Intentionally harming self (event)|})&limit=7000,22
Epicondylitis (disorder),73583000,312421000119107,Lateral epicondylitis of right humerus (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<725971002|Structure of enthesis of elbow region (body structure)|,116676008|Associated morphology (attribute)| = 409774005|Inflammatory morphology (morphologic abnormality)|})&limit=7000",5
Intervertebral disc prolapse (disorder),73589001,22531000119104,Prolapse of cervical intervertebral disc without radiculopathy (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<360499006|Structure of intervertebral disc (body structure)|,116676008|Associated morphology (attribute)| = 29696001|Prolapse (morphologic abnormality)|})&limit=7000",29
Injury of peripheral nerve (disorder),73590005,10973901000119108,Injury of right abducens nerve (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<84782009|Peripheral nerve structure (body structure)|,116676008|Associated morphology (attribute)| = 37782003|Damage (morphologic abnormality)|})&limit=7000",190
Laparoscopy (procedure),73632009,473366009,Laparoscopy for undescended testicle (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129433002|Inspection - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<818987002|Structure of abdominopelvic cavity (body structure)|,424226004|Using device (attribute)| = 86174004|Laparoscope, device (physical object)|})&limit=7000",15
Polyp of nasal cavity and/or nasal sinus (disorder),736499003,41931000119102,Sinusitis co-occurrent with nasal polyps (disorder),"(*):  ([1..1]{363698007|Finding site (attribute)| = <<736503009|Structure of mucous membrane of nasal cavity and/or nasal sinus (body structure)|,116676008|Associated morphology (attribute)| = 41329004|Polyp (morphologic abnormality)|})&limit=7000",13
Colonoscopy (procedure),73761001,789778002,Colonoscopy and fecal microbiota transplantation (procedure),"(*):  ([1..1]{260686004|Method (attribute)| = 129433002|Inspection - action (qualifier value)|,405813007|Procedure site - Direct (attribute)| = <<71854001|Colon structure (body structure)|,424226004|Using device (attribute)| = 90412006|Colonoscope, device (physical object)|})&limit=7000",18
